date,CEFIS Food Index,Turkstat Food Index,ITO Food Index
2018-07-13,81.73222761627417,78.15728122216115,76.18854035832244
2018-07-14,81.39216540407307,78.15728122216115,76.18854035832244
2018-07-15,81.60975915678858,78.15728122216115,76.18854035832244
2018-07-16,81.042903857422,78.15728122216115,76.18854035832244
2018-07-17,80.56781004133823,78.15728122216115,76.18854035832244
2018-07-18,80.96038695391056,78.15728122216115,76.18854035832244
2018-07-19,81.30135293316269,78.15728122216115,76.18854035832244
2018-07-20,81.00623442918429,78.15728122216115,76.18854035832244
2018-07-21,80.50049606410396,78.15728122216115,76.18854035832244
2018-07-22,80.45291990716412,78.15728122216115,76.18854035832244
2018-07-23,80.7869350066011,78.15728122216115,76.18854035832244
2018-07-24,80.51141447863847,78.15728122216115,76.18854035832244
2018-07-25,81.4908341695827,78.15728122216115,76.18854035832244
2018-07-26,81.57464805168179,78.15728122216115,76.18854035832244
2018-07-27,81.05380951420213,78.15728122216115,76.18854035832244
2018-07-28,81.13474413118453,78.15728122216115,76.18854035832244
2018-07-29,81.20169805976144,78.15728122216115,76.18854035832244
2018-07-30,81.40500506842349,78.15728122216115,76.18854035832244
2018-07-31,80.71374782035127,78.15728122216115,76.18854035832244
2018-08-01,83.21956565585225,78.20656191360715,76.7301611664794
2018-08-02,82.72215190730759,78.20656191360715,76.7301611664794
2018-08-03,81.89171712967871,78.20656191360715,76.7301611664794
2018-08-04,82.00532918013441,78.20656191360715,76.7301611664794
2018-08-05,82.05554084664328,78.20656191360715,76.7301611664794
2018-08-06,86.91176693590562,78.20656191360715,76.7301611664794
2018-08-07,84.61180242012743,78.20656191360715,76.7301611664794
2018-08-08,82.30136887105598,78.20656191360715,76.7301611664794
2018-08-09,82.53687116860495,78.20656191360715,76.7301611664794
2018-08-10,82.45482643416995,78.20656191360715,76.7301611664794
2018-08-11,82.08248096720033,78.20656191360715,76.7301611664794
2018-08-12,81.91820232897935,78.20656191360715,76.7301611664794
2018-08-13,82.45007540530456,78.20656191360715,76.7301611664794
2018-08-14,82.03537240175156,78.20656191360715,76.7301611664794
2018-08-15,82.54449370747523,78.20656191360715,76.7301611664794
2018-08-16,83.04937247858719,78.20656191360715,76.7301611664794
2018-08-17,82.94903929021024,78.20656191360715,76.7301611664794
2018-08-18,83.47364341434768,78.20656191360715,76.7301611664794
2018-08-19,83.47389057760623,78.20656191360715,76.7301611664794
2018-08-20,83.59896521648099,78.20656191360715,76.7301611664794
2018-08-21,84.2810987469176,78.20656191360715,76.7301611664794
2018-08-22,84.31358321869823,78.20656191360715,76.7301611664794
2018-08-23,84.19571877229781,78.20656191360715,76.7301611664794
2018-08-24,84.25632081884767,78.20656191360715,76.7301611664794
2018-08-25,83.86550719513885,78.20656191360715,76.7301611664794
2018-08-26,83.97266645078449,78.20656191360715,76.7301611664794
2018-08-27,84.11895028898836,78.20656191360715,76.7301611664794
2018-08-28,83.51372362917188,78.20656191360715,76.7301611664794
2018-08-29,84.6351282999249,78.20656191360715,76.7301611664794
2018-08-30,84.3299903186098,78.20656191360715,76.7301611664794
2018-08-31,83.31443948776015,78.20656191360715,76.7301611664794
2018-09-01,83.53741059424303,83.21044750658655,80.40055440994736
2018-09-02,84.49541194828949,83.21044750658655,80.40055440994736
2018-09-03,85.18549035641912,83.21044750658655,80.40055440994736
2018-09-04,85.10847809380384,83.21044750658655,80.40055440994736
2018-09-05,86.11039251104557,83.21044750658655,80.40055440994736
2018-09-06,86.61629303839771,83.21044750658655,80.40055440994736
2018-09-07,86.42772478928144,83.21044750658655,80.40055440994736
2018-09-08,86.23861364646636,83.21044750658655,80.40055440994736
2018-09-09,84.74090682704174,83.21044750658655,80.40055440994736
2018-09-10,86.45853071209048,83.21044750658655,80.40055440994736
2018-09-11,86.08839243392569,83.21044750658655,80.40055440994736
2018-09-12,86.86373644530286,83.21044750658655,80.40055440994736
2018-09-13,87.81095526294266,83.21044750658655,80.40055440994736
2018-09-14,86.35393061504645,83.21044750658655,80.40055440994736
2018-09-15,86.57962309855941,83.21044750658655,80.40055440994736
2018-09-16,86.48371069305637,83.21044750658655,80.40055440994736
2018-09-17,87.41333729467343,83.21044750658655,80.40055440994736
2018-09-18,87.22099556658665,83.21044750658655,80.40055440994736
2018-09-19,88.75888029598632,83.21044750658655,80.40055440994736
2018-09-20,88.95351642916191,83.21044750658655,80.40055440994736
2018-09-21,88.54904746857805,83.21044750658655,80.40055440994736
2018-09-22,88.65336996089594,83.21044750658655,80.40055440994736
2018-09-23,88.65350435758486,83.21044750658655,80.40055440994736
2018-09-24,89.02410376904713,83.21044750658655,80.40055440994736
2018-09-25,89.36807906387055,83.21044750658655,80.40055440994736
2018-09-26,89.70921780652998,83.21044750658655,80.40055440994736
2018-09-27,90.22523175594576,83.21044750658655,80.40055440994736
2018-09-28,90.48424982025021,83.21044750658655,80.40055440994736
2018-09-29,89.22022502978774,83.21044750658655,80.40055440994736
2018-09-30,90.0814737689576,83.21044750658655,80.40055440994736
2018-10-01,91.03772299961548,85.89245436797513,82.87905386892456
2018-10-02,89.79377845893023,85.89245436797513,82.87905386892456
2018-10-03,89.66030681120115,85.89245436797513,82.87905386892456
2018-10-04,92.18206606357232,85.89245436797513,82.87905386892456
2018-10-05,91.37482290407274,85.89245436797513,82.87905386892456
2018-10-06,91.33992432588214,85.89245436797513,82.87905386892456
2018-10-07,91.30434196139304,85.89245436797513,82.87905386892456
2018-10-08,91.26809616802969,85.89245436797513,82.87905386892456
2018-10-09,90.01779660904275,85.89245436797513,82.87905386892456
